Name,Fulladdress,Street,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Place Id,Price,Email,Social Medias
Pro Maker Gym & Health Club,"1st Floor, H8J7+7R2 11 Khamba Tower, near Saai Mandir, Naya Bans, Naya Bans Village, Sector 15, Noida, Uttar Pradesh 201301","1st Floor, H8J7+7R2",Gym,088004 13352,"088004 13352,+91 88004 13352",false,260,4.8,https://search.google.com/local/reviews?placeid=ChIJ7fy9qTblDDkR3irXCMSNa9k&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15666771601839827678,28.581201399999998,77.3122982,,,"Wednesday:5 am–11 pm,Thursday:5 am–11 pm,Friday:5 am–11 pm,Saturday:5 am–11 pm,Sunday:5 am–11 pm,Monday:5 am–11 pm,Tuesday:5 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlhsDIDApZGa2wvbcCu4fOwoZ9kfFygNyum9nJInwa9rK2DbZ_y8CTa2fnmburWf6d8KzbUDcKo3TlCiML8UAYtnEgInMdr5kgWZta6enrDUV3Bsf8XnLPchtceMCONewwQO14s=w204-h92-k-no,15666771601839827678,ChIJ7fy9qTblDDkR3irXCMSNa9k,,visible after upgrade,visible after upgrade
Trinity Fitness & Slimming Studio,"Amaltash Marg, Chaura Raghunathpur, Raghunathpur, Sector 22, Noida, Uttar Pradesh 201307",Amaltash Marg,"Fitness center,Gym,Weight loss service",099110 54154,"099110 54154,+91 99110 54154",false,283,4.8,https://search.google.com/local/reviews?placeid=ChIJc7qm3gXlDDkRMDvh_755KnQ&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8370636718665186096,28.5948124,77.3425946,,,"Wednesday:5 am–10 pm,Thursday:5 am–10 pm,Friday:5 am–10 pm,Saturday:6 am–10 pm,Sunday:Closed,Monday:5 am–10 pm,Tuesday:5 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn7Sqk2oQJnUfi36SW1fvF_6QbVryAunfMiZWxb6WgemT7j1ZabrukgT4BXI_ioBW20k91tOPrVnewC39LiQlDFEbNWGwnlPI66lVgzlJmTtUxPtqfffcjjaGKg7odQKmiWbTJB=w171-h92-k-no,8370636718665186096,ChIJc7qm3gXlDDkRMDvh_755KnQ,,visible after upgrade,visible after upgrade
La Fitnesse Select,"3rd Floor Dharam Palace, Tulsi Marg, above ICICI BANK, K Block, Sector 18, Noida, Uttar Pradesh 201301",3rd Floor Dharam Palace,Gym,082877 15938,"082877 15938,+91 82877 15938",false,515,4.1,https://search.google.com/local/reviews?placeid=ChIJT4zaFE_kDDkRTcvIBDAsUak&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12200581450273704781,28.571890999999997,77.322441,https://arvlafitnesse.com/,arvlafitnesse.com,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:9 am–5 pm,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmowzUQ0kRH557SoS3tBEGR_Ks5GDEz2-Rpz9tj4I8sMo4GsfsPSbltygA5H4c8i2-x5a1bHZGBylhoHSNeJu9u0OKeF1ANO53fXMuttSN_CVlpamYsTKpKFOhMOTwM0PfE_HgJ=w143-h92-k-no,12200581450273704781,ChIJT4zaFE_kDDkRTcvIBDAsUak,,visible after upgrade,visible after upgrade
"Meraki Fitness Studio - Available on cult.fit | Best Gym in Gautam Buddha Nagar, Noida, Gurugram","Gate No. 1, Sevakam Building, Sh-50, First Floor, opposite Logix Blossom county, Sector 141, Noida, Uttar Pradesh 201304","Gate No. 1, Sevakam Building","Gym,Fitness center,Gymnasium school,Personal trainer,Physical fitness program,Training center,Weight loss service,Weightlifting area",070116 89019,"070116 89019,+91 70116 89019",false,171,4.7,https://search.google.com/local/reviews?placeid=ChIJq6qq-vnoDDkRAwyq22k7Vv8&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=18398958653511699459,28.509239899999997,77.4155857,https://www.merakifitstudio.com/,merakifitstudio.com,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:12–8 pm,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnqLj5KlgMG3AQ3MqlAcBbJRsknyMJ1bHNx_zOCbw3jb_AumyrV_xTCxYYIL1X5Onof4KaBY-UNtofhNJd1ZKIEZYOEiuUbjsBHLUm6LSb0bhW42Bk01qlXpRRgpGluhBVK3VNzQJh5xOZR=w163-h92-k-no,18398958653511699459,ChIJq6qq-vnoDDkRAwyq22k7Vv8,,visible after upgrade,visible after upgrade
Wolf Fitness Gym,"2nd Floor, OM Complex, Metro Station Rd, behind sector-76, Baraula, Sector 49, Noida, Uttar Pradesh 201304",2nd Floor,"Gym,Gymnastics center",078389 90435,"078389 90435,+91 78389 90435",false,364,4.9,https://search.google.com/local/reviews?placeid=ChIJwUKKhCjlDDkRLFDlCPtoGC4&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3321520152581066796,28.5650883,77.3777085,https://wolffitnessgym.in/,wolffitnessgym.in,"Wednesday:5:30 am–10 pm,Thursday:5:30 am–10 pm,Friday:5:30 am–10 pm,Saturday:5:30 am–10 pm,Sunday:5–9 pm,Monday:5:30 am–10 pm,Tuesday:5:30 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmTGTypTt7M7vpWOpzIlZ6IxWLw4Q32n3vGka5LOQciZQuXHz3zZCOXBS36I2UXJhVH1S4S8qRVPpafFsIOYbT-pY9zY0x89vqPzfXsAE_1cvBpX2LDH8LAKoz70jlC9R68X3W2=w122-h92-k-no,3321520152581066796,ChIJwUKKhCjlDDkRLFDlCPtoGC4,,visible after upgrade,visible after upgrade
SNX Fitness,"Metro Station Sector 34 Noida, 2nd, opposite Metro Pillar No. 220, Hoshiyarpur, Hoshiarpur Village, Sector 51, Noida, Uttar Pradesh 201303",Metro Station Sector 34 Noida,"Gym,Aerobics Class,Body shaping class,Fitness center,Nutritionist,Personal trainer,Physical fitness program,Weight loss service,Weightlifting area",084488 27966,"084488 27966,+91 84488 27966",false,435,4.8,https://search.google.com/local/reviews?placeid=ChIJ9Z8RWAvlDDkRONgOafVhJIw&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10098303971128956984,28.5821825,77.3668096,http://snxfitness.in/,snxfitness.in,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:Closed,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnC_Q-5WUL5_2bvmsP-wAGJrovE8gkaCDgy22o82vs9q0xUuBzV85AAdfpzqFvfoRBu82xFAIDanwPtU6QMhgDfEnywec56FWis-6EdUG5mrn-eK7qZ64KJD9ufM7qAqCxwiCw2=w138-h92-k-no,10098303971128956984,ChIJ9Z8RWAvlDDkRONgOafVhJIw,,visible after upgrade,visible after upgrade
Pro Ultimate Gyms Sector 49 Noida,"3rd Floor, KO-12, metro station, near Sector 76, Sector 49, Noida, Uttar Pradesh 201301","3rd Floor, KO-12",Gym,070777 07759,"070777 07759,+91 70777 07759",false,456,4.8,https://search.google.com/local/reviews?placeid=ChIJV8AXA33vDDkRl_2ggUPH6KE&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11666793927454817687,28.561226299999998,77.37985909999999,https://www.proultimategyms.in/,proultimategyms.in,"Wednesday:5 am–11 pm,Thursday:5 am–11 pm,Friday:5 am–11 pm,Saturday:5 am–11 pm,Sunday:7 am–11 pm,Monday:5 am–11 pm,Tuesday:5 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnuyXj_9NtQCPv5TlyRmYUcf2mz4Q0kU06ChICGkp5PZBGhIKemJHJPzLJrgImjUtWnwERzZaG-n5cKiGknion2sRyp3J0VRG7UIFV2oULSWW9K0SaiY89q-fZ4w1jcs-K9p_QXImw0RxZT=w122-h92-k-no,11666793927454817687,ChIJV8AXA33vDDkRl_2ggUPH6KE,,visible after upgrade,visible after upgrade
The Fitness Bar,"Second Floor, Commercial Complex, RG Residency, Sector 120, Noida, Uttar Pradesh 201316",Second Floor,Gym,093111 22762,"093111 22762,+91 93111 22762",false,463,4.9,https://search.google.com/local/reviews?placeid=ChIJoQRtXZnvDDkRw11bWhZteeA&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16175079479450492355,28.588411899999997,77.3977574,http://www.thefitnessbar.in/,thefitnessbar.in,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:10 am–7 pm,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk7SPJmoT1d-eB1CMXc9n4M19VEndSQ91FQ_o-i9SoZbgmb1d1firukppy671ngeDblgwqW0cVmZ2g--KSm_no_r-Ohxl0RQ78B-8RbURhsGbS0AJCGr9Hn0B04PSelep7rH_tQtQ=w137-h92-k-no,16175079479450492355,ChIJoQRtXZnvDDkRw11bWhZteeA,,visible after upgrade,visible after upgrade
Body Scientist Warehouse Gym,"Infront of, Sadar saray, SUPREME TOWERS, Sector-46, Noida, Uttar Pradesh 201203",Infront of,"Fitness center,Gym,Personal trainer,Physical fitness program,Weight loss service,Wellness center",092056 40249,"092056 40249,+91 92056 40249",false,41,5,https://search.google.com/local/reviews?placeid=ChIJ5Tj414jlDDkRZ-w3H-jybGE&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7020252997933853799,28.547404699999998,77.3590224,https://www.bodyscientist.in/,bodyscientist.in,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:8 am–7 pm,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkRJz_CtZ_B5dKiVVq8jjTj_WyxGMECMsa4cAjiL30XaPd6Z59OHJ4WqQc8p60G6b9Yt7bGcuygF3hFjz6xTnUnPEIvBCvIWGSy7f1HPm284Z0eMbedVK64BE6OCzXguLUQv2duzOPs-iov=w80-h142-k-no,7020252997933853799,ChIJ5Tj414jlDDkRZ-w3H-jybGE,,visible after upgrade,visible after upgrade
Fitvilla Gym,"3rd Floor, H97H+QPR Suvardhnam Building, Metro Station, near Vishal Mega Mart, F Block, Sector 50, Noida, Uttar Pradesh 201304","3rd Floor, H97H+QPR, Suvardhnam Building",Fitness center,084485 19333,"084485 19333,+91 84485 19333",false,426,4.2,https://search.google.com/local/reviews?placeid=ChIJczCUd7nvDDkRq2qZ1TPRBXw&q=luxury+gyms+in+Noida&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8936779056143755947,28.564663399999997,77.3793915,https://fitvillagym.com/,fitvillagym.com,"Wednesday:5 am–12 am,Thursday:5 am–12 am,Friday:5 am–12 am,Saturday:5 am–12 am,Sunday:8 am–10 pm,Monday:5 am–12 am,Tuesday:5 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKpJcRHw8LJv18ewC39u6sQICS7KUxNmnF1h40HDSCGgRUqkiAdGmrQWM4UQfkzkyDvNgNJSnKcYu47kVQjPaxpKUJtfdVR5pDyZa9IT909d9qktEd7VpbBDTIkAVM1Mqi0IDhKw=w138-h92-k-no,8936779056143755947,ChIJczCUd7nvDDkRq2qZ1TPRBXw,,visible after upgrade,visible after upgrade
