Name,Fulladdress,Street,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Place Id,Price,Email,Social Medias
Sonargaon,"Taj Bengal, No. 34B, Belvedere Rd, Alipore, Kolkata, West Bengal 700027",Taj Bengal,"Bengali restaurant,North Indian restaurant,Punjabi restaurant",033 6612 3939,"033 6612 3939,+91 33 6612 3939",false,1148,4.6,https://search.google.com/local/reviews?placeid=ChIJA3qiHGh3AjoR2JP2A7TzzXI&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8272536045035623384,22.537591,88.3343992,https://www.tajhotels.com/en-in/hotels/taj-bengal-kolkata/restaurants/sonargaon-kolkata,tajhotels.com,"Wednesday:12:30–3:15 pm,Thursday:12:30–3:15 pm,Friday:12:30–3:15 pm,Saturday:12:30–3:15 pm,Sunday:12:30–3:15 pm,Monday:12:30–3:15 pm,Tuesday:12:30–3:15 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl2R82-R7URdycEu6i3Tgx-H8R5w2v6Ahx0uRFOZPOezW_MAHNRJ13Af3p0Jh6JXjWR-JbrBpArBH3rsse8hm0BvuPLTVpdj6qhcge5LPCakM-zNAvzRHzMIXSEBAnAjKzxMlzz=w80-h106-k-no,8272536045035623384,ChIJA3qiHGh3AjoR2JP2A7TzzXI,"₹2,000+",visible after upgrade,visible after upgrade
The One Restaurant Cum Bar,"Level - 1, 21B, Alipore Rd, Chetla, Kolkata, West Bengal 700027",Level - 1,Fine dining restaurant,081008 75425,"081008 75425,+91 81008 75425",false,271,4.6,https://search.google.com/local/reviews?placeid=ChIJrTRIJmhxAjoRFLiRzE-LGx8&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2241538414397732884,22.5197322,88.3337801,http://morveehotels.com/,morveehotels.com,"Wednesday:10 am–11 pm,Thursday:10 am–11 pm,Friday:10 am–11 pm,Saturday:10 am–11 pm,Sunday:10 am–11 pm,Monday:10 am–11 pm,Tuesday:10 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmEiQRcG59sK19xBdSAmyie8lgTCNlM14MqnX7uBJA5LdQGYoKDBhOeFMOwqLEhKNGAgFTQ-o1p-ieh5b2Li17SJqZ11vhC_ZPr1lWXFbXuW19nJAsCInr7ZXzPOftI9_WHQH9j=w163-h92-k-no,2241538414397732884,ChIJrTRIJmhxAjoRFLiRzE-LGx8,"₹400–1,400",visible after upgrade,visible after upgrade
Mangio,"2h, Alipore Ave, Kala Bagan, Chetla, Kolkata, West Bengal 700027","2h, Alipore Ave","Continental restaurant,Breakfast restaurant,Fine dining restaurant,Restaurant",081007 79969,"081007 79969,+91 81007 79969",false,183,4.3,https://search.google.com/local/reviews?placeid=ChIJ98GlQlF3AjoRVl6WWW7LRXs&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8882729514868039254,22.5161816,88.328673,https://www.instagram.com/_u/mangio.alipore/?utm_source=ig_embed&ig_rid=6b08218e-9e5d-4a83-8199-bbf948c54d38&ig_mid=9C95ACAA-27F6-497E-A065-EC86EBFF8ABF,instagram.com,"Wednesday:12–10:30 pm,Thursday:12–10:30 pm,Friday:12–10:30 pm,Saturday:12–10:30 pm,Sunday:12–10:30 pm,Monday:12–10:30 pm,Tuesday:12–10:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn9Vd--KAcE00ftoxttW-48pyiNnt3WwgbrAU7RCScm6EALGhKa5mh7LYXp46mOpnYEzbCNiJB-Q0YRTJdQ7PR5MAT8II3hyi_lAt2nWIhO9EUGwlcmTYflpj541HmdzOqoUICQpw=w122-h92-k-no,8882729514868039254,ChIJ98GlQlF3AjoRVl6WWW7LRXs,"₹2,000+",visible after upgrade,visible after upgrade
Arsalan Restaurant & Caterer,"23A, Diamond Harbour Rd, opp. India Government Mint, Block A, Block B, New Alipore, Kolkata, West Bengal 700053",23A,Restaurant,090070 07944,"090070 07944,+91 90070 07944",false,8200,4.1,https://search.google.com/local/reviews?placeid=ChIJi7YdGgB6AjoRGJPChsDAJqk&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12188641374651978520,22.5153067,88.3231734,http://www.arsalanrestaurants.com/,arsalanrestaurants.com,"Wednesday:10:30 am–11:30 pm,Thursday:10:30 am–11:30 pm,Friday:10:30 am–11:30 pm,Saturday:10:30 am–11:30 pm,Sunday:10:30 am–11:30 pm,Monday:10:30 am–11:30 pm,Tuesday:10:30 am–11:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnMc4jyG7esRVaYQpk-R2eDjLeOkGkYvrOT6LdoO1EgxQrxaKyOy34oDPnF8zVy2RGZVhex9vZ16TVfZXFA_dqF0oKcq2gg8aIrZ-fThVz25bEJlI8PVHeNXppFrvWIuYd9zsF7tg=w163-h92-k-no,12188641374651978520,ChIJi7YdGgB6AjoRGJPChsDAJqk,₹200–600,visible after upgrade,visible after upgrade
Somponno,"34A, Alipore, Kolkata, West Bengal 700027",34A,Restaurant,,,false,374,4.2,https://search.google.com/local/reviews?placeid=ChIJ087iUkJ3AjoR4Ff5Yl9yrwg&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=625844627235756000,22.5329664,88.3358216,,,"Wednesday:12–10 pm,Thursday:12–10 pm,Friday:12–10 pm,Saturday:12–10 pm,Sunday:12–10 pm,Monday:12–10 pm,Tuesday:12–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmbWDqS5ewroAVxf_QeIB2lhGt6ZaKtrQ-i2nPnJwXX-FqV8aRAxHemi2M7KVb8YPeX5XdY7sByFwTHwkRbcLAvLNYRjXzDnrl8aeqlkig5tlgAr1T1781_9zGzuOb2FT-Ecgxx=w163-h92-k-no,625844627235756000,ChIJ087iUkJ3AjoR4Ff5Yl9yrwg,₹200–400,visible after upgrade,visible after upgrade
Red kitchen and lounge,"17/1F, Alipore Rd, Alipore, Kolkata, West Bengal 700027","17/1F, Alipore Rd",Chinese restaurant,098312 72806,"098312 72806,+91 98312 72806",false,584,4.1,https://search.google.com/local/reviews?placeid=ChIJZ4RABVt3AjoRwctNY_-o3lE&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5899338376738098113,22.522320699999998,88.3312421,,,"Wednesday:12:30–11 pm,Thursday:12:30–11 pm,Friday:12:30–11 pm,Saturday:12:30–11 pm,Sunday:12:30–11 pm,Monday:1–11 pm,Tuesday:12:30–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnmvZ-95xszZaV8A62jZ25aaSBWvE1ASFDX7D2GRvn88LPpk6nS8jVY8QIKGSLz7bSkTfjJJjn0XoVa4Gndn1FuxZcwl-OOzQChOGt7ieS_ZWY5zKuoZqMdkWdEFyOsKbwj265O=w122-h92-k-no,5899338376738098113,ChIJZ4RABVt3AjoRwctNY_-o3lE,"₹400–1,600",visible after upgrade,visible after upgrade
Chai Break - Alipore,"2nd Floor, Enclave mall, 17/1F, Alipore Rd, Alipore, Kolkata, West Bengal 700027",2nd Floor,"Cafe,Indian restaurant,Italian grocery store,Italian restaurant,Pizza restaurant,Vegetarian cafe and deli,Vegetarian restaurant",083350 63205,"083350 63205,+91 83350 63205",false,1057,4.3,https://search.google.com/local/reviews?placeid=ChIJ37i9eFF3AjoRiLYrlNusZj4&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4496471337059726984,22.522286599999997,88.33118069999999,https://www.chaibreak.com/find-us/chai-break-alipore/,chaibreak.com,"Wednesday:11 am–2 am,Thursday:11 am–2 am,Friday:11 am–2 am,Saturday:11 am–2 am,Sunday:11 am–2 am,Monday:11 am–2 am,Tuesday:11 am–2 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkjZK9ISESiKcFpvavEtOT8CuAEYgkwIU1buBkUbvjt-hEwU918U_xdwlN7yANuyNlwKb_opYI6MwJuzS1g24dn83yoCqTiov6vhYZA2NgPbQK0gjJPahKQnUAxSqgU_8zihCr_=w122-h92-k-no,4496471337059726984,ChIJ37i9eFF3AjoRiLYrlNusZj4,"₹400–1,200",visible after upgrade,visible after upgrade
Aami Bangali Restaurant,"19/6, New Alipore Rd, opposite Punjab National Bank, Block J, Sahapur, New Alipore, Kolkata, West Bengal 700053","19/6, New Alipore Rd",Family restaurant,,,false,152,4.3,https://search.google.com/local/reviews?placeid=ChIJlTSqKQBxAjoRHDrAcfbSjeM&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16396993774238054940,22.5124235,88.32779389999999,,,"Wednesday:11 am–11 pm,Thursday:11 am–11 pm,Friday:11 am–11 pm,Saturday:11 am–11 pm,Sunday:11 am–11 pm,Monday:11 am–11 pm,Tuesday:11 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmhq2fnKd0WG_KtnEsqwHaCXkNp35UZmG5rg0IcrIMC9vMGTi4PblFOy0RWfIk4Rzg8Ghme6_MbI5bvzzt-iaMWV0BPCib2AR8P2zmGMSo0iFSfFts5iAMKr1raUXEM_jVqbvuGfw=w122-h92-k-no,16396993774238054940,ChIJlTSqKQBxAjoRHDrAcfbSjeM,₹200–400,visible after upgrade,visible after upgrade
At Litti King - New Alipore,"32A, Block H, Alipore, Kolkata, West Bengal 700053",32A,"Fast food restaurant,Catering food and drink supplier,Caterer,Restaurant supply store,Vegetarian restaurant",090078 77697,"090078 77697,+91 90078 77697",false,1225,4.1,https://search.google.com/local/reviews?placeid=ChIJpxzMsTl3AjoR_HZUcin0yKQ&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11874008876411287292,22.5132646,88.32688689999999,,,"Wednesday:7 am–12 am,Thursday:7 am–12 am,Friday:7 am–12 am,Saturday:7 am–12 am,Sunday:7 am–12 am,Monday:7 am–12 am,Tuesday:7 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn1PpNPLeRE7Losk6EpG8eJrrUGfv3Yw7yAZ24yGFsZdEljBxHjIPZDYDPosluriXNJNk34XrgjQzwDBG9MK_8DpDECABDMWIvN4xzX4a5hr7iRJ3X93aUmU_SYcPOfTR7LcLVp=w122-h92-k-no,11874008876411287292,ChIJpxzMsTl3AjoR_HZUcin0yKQ,₹1–200,visible after upgrade,visible after upgrade
Garden Cafe,"34A, Belvedere Rd, Alipore, Kolkata, West Bengal 700027","34A, Belvedere Rd","South Indian restaurant,Fast food restaurant,Vegetarian restaurant",033 2456 7354,"033 2456 7354,+91 33 2456 7354",false,4501,4.3,https://search.google.com/local/reviews?placeid=ChIJm4-FElt3AjoR7qIlHmu7y0g&q=alipore+restaurants&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5245492259744752366,22.532954,88.3354634,http://www.nowlakha.com/,nowlakha.com,"Wednesday:9 am–10:30 pm,Thursday:9 am–10:30 pm,Friday:9 am–10:30 pm,Saturday:9 am–10:30 pm,Sunday:9 am–10:30 pm,Monday:9 am–10:30 pm,Tuesday:9 am–10:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWluLeYy0kqX6OVLAOdnyBu_8EypudqH4s6lGbpu6yNIqSKLHb4EZfe9XklaMvpQ2za31f0ySLfWhCcZ2vfbmkhRCALycXg31Y_HayR5o605060Z5-VeNiIaO5iVhv8LZU7xAd8=w122-h92-k-no,5245492259744752366,ChIJm4-FElt3AjoR7qIlHmu7y0g,₹200–400,visible after upgrade,visible after upgrade
