Name,Fulladdress,Street,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Place Id,Price,Email,Social Medias
"Clan fitness club | Best gym in Baner, Pune","Prime Rose Mall Ln, Baner, Pune, Maharashtra 411069",Prime Rose Mall Ln,Gym,084110 10849,"084110 10849,+91 84110 10849",false,711,4.8,https://search.google.com/local/reviews?placeid=ChIJSWxqXf-_wjsRxU-o2GQArG4&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7974749473297944517,18.5613779,73.7854905,,,"Wednesday:5:30 am–10:30 pm,Thursday:5:30 am–10:30 pm,Friday:5:30 am–10:30 pm,Saturday:5:30 am–10 pm,Sunday:8 am–12 pm,Monday:5:30 am–10:30 pm,Tuesday:5:30 am–10:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmWKG1B3KBiD-bqreg3RhMU1lsbKM_JPSKZZ5LQNOemJSQ793fx4UXghQYPE7751tSrQPc9GPVtjrxvmtageAXo11DMxl2dfLNXMy5y5Bu3Z-DQcw6pjofOyvTJvLTnhPmhCvmP=w138-h92-k-no,7974749473297944517,ChIJSWxqXf-_wjsRxU-o2GQArG4,,visible after upgrade,visible after upgrade
B2B Gym Best Gym In Aundh,"2nd floor, B-wing, Astral Court, Opposite Gaikwad Petrol Pump/Peter Donuts, Pune, Maharashtra 411067","2nd floor, B-wing, Astral Court, Opposite Gaikwad Petrol Pump/Peter Donuts","Gym,Dietitian,Fitness center,Martial arts school,Nutritionist,Personal trainer,Physical fitness program,Weight loss service,Weightlifting area,Wellness center",094223 21788,"094223 21788,+91 94223 21788",false,584,4.8,https://search.google.com/local/reviews?placeid=ChIJafJLBSW_wjsR-54U5RcEEw4&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1014158841762586363,18.5575991,73.8043923,http://b2bgym.com/,b2bgym.com,"Wednesday:6 am–12 pm,Thursday:6 am–12 pm,Friday:6 am–12 pm,Saturday:6 am–12 pm,Sunday:Closed,Monday:6 am–12 pm,Tuesday:6 am–12 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmFOQrv-dWYqIFSoNU1ERyojuLUKYJFZN2DZSdLBw_k9a5Cb4q-jUH_r3mXH85XN1CYADiOHf2GKRNswyy3mPM_LKKCcxhj3RnKvqc8pQv4usLNTyUEQl33NJYbwzImewo9U0TpPg=w122-h92-k-no,1014158841762586363,ChIJafJLBSW_wjsR-54U5RcEEw4,,visible after upgrade,visible after upgrade
OXOFIT PREMIUM FITNESS - Available on cult.fit,"Ruia Chambers, Amanora, Pune, Maharashtra 411028",Ruia Chambers,"Gym,Dietitian,Fitness center,Health consultant,Nutritionist,Personal trainer,Physical fitness program,Weight loss service,Weightlifting area,Wellness center",092099 51236,"092099 51236,+91 92099 51236",false,138,4.7,https://search.google.com/local/reviews?placeid=ChIJPcezRKDDwjsRsRpS6H3f_EY&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5115209008647641777,18.5208427,73.93903639999999,https://www.cult.fit/cult/cult-pass/pune/Oxofit-Premium-Fitness/2592,cult.fit,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:8 am–1 pm,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmEDca71kvil9yF1mpQK_z4orZCgX6aHcMJ11LO-gt-jNE6qqUVFls_oWIzDa6wlUsOhmw7IAzW_Qidm1jh_N86vS-6twhvEKDk2idPZydIx9ZbPtbmXSeDuFFnavqPT3EmeKxX=w122-h92-k-no,5115209008647641777,ChIJPcezRKDDwjsRsRpS6H3f_EY,,visible after upgrade,visible after upgrade
Universal Gym | Best Gym In Camp Pune,"Universal Gym & Fitness Club, opp. Chandan Medicals, Jai Society, New Modikhana, Bhawani Peth, Pune, Maharashtra 411002",Universal Gym & Fitness Club,Gym,099230 88848,"099230 88848,+91 99230 88848",false,111,4.6,https://search.google.com/local/reviews?placeid=ChIJlxx4mITBwjsR-_s_rBRRoz8&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4585597994824367099,18.5082837,73.8748203,https://universal-gym-five.vercel.app/,universal-gym-five.vercel.app,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:Closed,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk2PKe-gmMgt3jd6YaUtny1Y38SDX0XeikZY71dAhtDLvE_jpkpQ1V0EHRpZSa86oYxd9p7bMQajG-x8Wipn_fmb3QdVBm2aatXLBYcAvW7Hqt7RtIXoZigUXBAJXEoQtW0WJ8m=w122-h92-k-no,4585597994824367099,ChIJlxx4mITBwjsR-_s_rBRRoz8,,visible after upgrade,visible after upgrade
ABS FITNESS,"9th Floor, ICC Trade Tower, A Wing, Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016",9th Floor,"Gym,Fitness center,Personal trainer",097632 15051,"097632 15051,+91 97632 15051",false,1273,4.7,https://search.google.com/local/reviews?placeid=ChIJhZDIhHC_wjsR-QiwB5kytQE&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=123060197662918905,18.5350382,73.82966669999999,http://absfitnessclub.in/,absfitnessclub.in,"Wednesday:6 am–1 pm,Thursday:6 am–1 pm,Friday:6 am–1 pm,Saturday:6 am–1 pm,Sunday:Closed,Monday:6 am–1 pm,Tuesday:6 am–1 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnOYyqW2mbZPtP6Aw3JfThnGHQlGETFwAtWAep9VQspV4TVDcWU0e-8u2Zq5cofxFrJldHRi8ljB9c378D6wB9LLzy5qaZikBTLAR7LP2DtJOd_Ju_75BTETVuIJPWwoXM_896Wig=w122-h92-k-no,123060197662918905,ChIJhZDIhHC_wjsR-QiwB5kytQE,,visible after upgrade,visible after upgrade
Elite Edge Fitness (By Ginieel Nvalkr),"GANESH KRIPA HOS SOC, AMEYA Behind Saad bunglow ,PLOT NO 2O-C 2, 12TH LANE, Ramkrishna Paramhans Nagar, Pune, Maharashtra 411038",GANESH KRIPA HOS SOC,"Fitness center,Gym,Nutritionist,Personal trainer,Physical fitness program,Wellness center",096659 62938,"096659 62938,+91 96659 62938",false,181,5,https://search.google.com/local/reviews?placeid=ChIJ_4mfPg-_wjsRgahcYZOTvi4&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3368291832522647681,18.5116142,73.8038637,https://eliteedgefitness.in/,eliteedgefitness.in,"Wednesday:6 am–10 pm,Thursday:6 am–10 pm,Friday:6 am–10 pm,Saturday:6 am–10 pm,Sunday:Closed,Monday:6 am–10 pm,Tuesday:6 am–10 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkcRXwFyii0DD01l2oPB3PU3LaaWWz3tZ8ZZGGy86ysFJ079ppRVTUw2lQH9MIoCQdby6J9C8dAZhL9QD_SUGN-LNUci3ud_xmQkGP8HiZtgCBLmZ2BQfwod-W2znk6sz_-1_rQ=w122-h92-k-no,3368291832522647681,ChIJ_4mfPg-_wjsRgahcYZOTvi4,,visible after upgrade,visible after upgrade
P9 Fitness & Gym,"GVF5+G86 Elite Colossal Building, Ferguson College Rd, opp. Police Ground, above Yana Sizzler & Shravan Veg lovers hotel, Rage Path, Model Colony, Shivajinagar, Pune, Maharashtra 411005",GVF5+G86,Fitness center,097655 81509,"097655 81509,+91 97655 81509",false,138,4.6,https://search.google.com/local/reviews?placeid=ChIJIWsKtNfBwjsRLkwO84Hvl1U&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6167661556114803758,18.530359999999998,73.8437269,,,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:6 am–11 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmtmWFnh-xUnF7Ti13-YPV6-YFMgztFOMmnaRUy0y-pCkEVsuvJb6LpPhA_4UldUPn9YDLRgAuNogWytcU9aas_NQWF8x-V5Cbr_QlJq7MB3ooL7Sw8aN4Fu7vek8X8Ujfd90KtIA=w122-h92-k-no,6167661556114803758,ChIJIWsKtNfBwjsRLkwO84Hvl1U,,visible after upgrade,visible after upgrade
ABS Fitness Club | CAMP,"Atur Foundation House, 4, Dr Baba Saheb Ambedkar Rd, Above Jawaharlal Nehru Memorial Hall, Agarkar Nagar, Pune, Maharashtra 411001",Atur Foundation House,"Gym,Fitness center,Personal trainer",097632 15051,"097632 15051,+91 97632 15051",false,399,4.6,https://search.google.com/local/reviews?placeid=ChIJh2Z0n8nBwjsRKA1ZFfSa4FU&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6188116261127916840,18.5197909,73.8758536,https://absfitnessclub.in/,absfitnessclub.in,"Wednesday:6 am–1 pm,Thursday:6 am–1 pm,Friday:6 am–1 pm,Saturday:6 am–1 pm,Sunday:Closed,Monday:6 am–1 pm,Tuesday:6 am–1 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkIoOlFKsecjeYl4DlU2u8Err9U089YVIkyJ9S6SN4Tled-beO6kaD9cRZlCbHNWIlBj5V4ZSMDTZald6pemIjmbPRHWgf0I6i1sGBPkYM2i4yuYI-3gokRz38OTqCy9dykS50N=w122-h92-k-no,6188116261127916840,ChIJh2Z0n8nBwjsRKA1ZFfSa4FU,,visible after upgrade,visible after upgrade
"24S Fitness & Beyond by Shekhar Sable | Luxury Gym & Fitness Club | Best Gym in NIBM | Best Gym in Wanowrie, Kondhwa, Undri |","1st Floor, Clover Metropole, above Dorabjee Store, NIBM Undri Road, Kondhwa, Pune, Maharashtra 411048",1st Floor,Gym,084848 96799,"084848 96799,+91 84848 96799",false,107,4.8,https://search.google.com/local/reviews?placeid=ChIJ30KVWYXrwjsR2vOTWw9Uk3o&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8832495719141340122,18.4726683,73.8995794,http://24sfitnessandbeyond.com/,24sfitnessandbeyond.com,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:11 am–8 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnk4ftGmXzvJ7Z6KZtIqZtvGli_K7edKRtpYytcUeyKBQPUDaKuXqNFJ9qM-S4OyqB0sdpyZoQzj8VHdBInAaIf2Yfewovx2pQUw_Bo3moqM3lyQBzf8_HJLnLQBLcvdw0hmmgypbT8GkwG=w80-h142-k-no,8832495719141340122,ChIJ30KVWYXrwjsR2vOTWw9Uk3o,,visible after upgrade,visible after upgrade
Niwara Gym by V3 Fitness,"Niwara Campus, 96, Navi Peth, Thosarpaga, Pune, Maharashtra 411030",Niwara Campus,Fitness center,098603 30423,"098603 30423,+91 98603 30423",false,576,4.8,https://search.google.com/local/reviews?placeid=ChIJpXcMErW_wjsRSdbOTHmqhvs&q=premium+gyms+in+Pune&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=18124361188355528265,18.5088796,73.841124,,,"Wednesday:6 am–1 pm,Thursday:6 am–1 pm,Friday:6 am–1 pm,Saturday:6 am–1 pm,Sunday:Closed,Monday:6 am–1 pm,Tuesday:6 am–1 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnSIWC8p4grrQnjp78Lb-IFg8HaCLyeyyUUKEYHkJ4gdUNlszZVoC12ztlCAnzIAmQhvw8wsjHPenvCKteyBocNfyqgJnplLmoTc6CdDLLidPP5U_S6hC1SmZzPTKNANeZLdqhM=w138-h92-k-no,18124361188355528265,ChIJpXcMErW_wjsRSdbOTHmqhvs,,visible after upgrade,visible after upgrade
